eno,id,mouse,pm25,mopos
1.9459101490553132,11,NA,NA,yes
3.1780538303479458,11,-3.4112477175156566,NA,yes
4.04305126783455,11,-9.210340371976182,12.29325,yes
2.0794415416798357,11,NA,NA,yes
NA,11,-9.210340371976182,13.9353,yes
3.6888794541139363,12,NA,NA,no
4.653960350157523,12,-2.9565115604007097,31.01436,no
3.1354942159291497,12,-3.3242363405260273,37.39752,no
-9.210340371976182,12,NA,NA,no
3.4011973816621555,12,-9.210340371976182,35.37066,no
2.4849066497880004,13,NA,NA,NA
4.02535169073515,13,-0.3438997524500096,31.31431,NA
3.828641396489095,13,-2.375155785828881,44.97339,NA
-9.210340371976182,13,NA,NA,NA
-9.210340371976182,13,-2.2164073967529934,23.61779,NA
NA,14,NA,NA,yes
1.6094379124341003,14,0.045928931888399735,8.805539,yes
1.9459101490553132,14,-1.6928195213731514,5.058342,yes
1.6094379124341003,14,NA,NA,yes
-9.210340371976182,14,-1.0272222925814367,17.69088,yes
1.9459101490553132,19,NA,NA,no
1.791759469228055,19,-9.210340371976182,18.33418,no
2.8903717578961645,19,-9.210340371976182,11.39418,no
-9.210340371976182,19,NA,NA,no
-9.210340371976182,19,NA,13.53239,no
-9.210340371976182,20,NA,NA,no
2.0794415416798357,20,-2.8473122684357177,7.834723,no
1.6094379124341003,20,NA,NA,no
2.0794415416798357,21,NA,NA,yes
2.995732273553991,21,0.7570605063035981,52.30552,yes
-9.210340371976182,21,0.8289884034713584,59.77784,yes
-9.210340371976182,21,NA,NA,yes
-9.210340371976182,21,-3.506557897319982,117.4012,yes
1.6094379124341003,25,NA,NA,NA
2.9444389791664403,25,-1.5095925774643841,26.29958,NA
-9.210340371976182,25,-9.210340371976182,14.22013,NA
-9.210340371976182,25,NA,NA,NA
-9.210340371976182,25,-2.6736487743848776,NA,NA
2.6390573296152584,27,NA,NA,yes
-9.210340371976182,27,-1.7092582477163114,64.70158,yes
1.9459101490553132,27,-9.210340371976182,84.08917,yes
-9.210340371976182,27,NA,NA,yes
-9.210340371976182,27,-1.4105870536889351,4.777535,yes
2.0794415416798357,29,NA,NA,yes
2.6390573296152584,29,-0.33547273628812946,44.49158,yes
-9.210340371976182,29,-2.2256240518579173,7.828197,yes
1.6094379124341003,29,NA,NA,yes
-9.210340371976182,29,NA,34.26268,yes
-9.210340371976182,32,NA,NA,yes
1.9459101490553132,32,-9.210340371976182,12.34683,yes
-9.210340371976182,32,-9.210340371976182,25.56995,yes
-9.210340371976182,32,NA,NA,yes
1.9459101490553132,32,-9.210340371976182,9.100815,yes
1.6094379124341003,33,NA,NA,no
2.3978952727983707,33,-2.8473122684357177,3.273731,no
-9.210340371976182,33,-9.210340371976182,1.765629,no
-9.210340371976182,33,NA,NA,no
-9.210340371976182,33,-9.210340371976182,3.438782,no
-9.210340371976182,36,NA,NA,yes
1.9459101490553132,36,-1.05268335677971,12.72006,yes
-9.210340371976182,36,-9.210340371976182,18.10958,yes
-9.210340371976182,36,NA,NA,yes
-9.210340371976182,36,-9.210340371976182,19.52183,yes
1.791759469228055,37,NA,NA,no
-9.210340371976182,37,-2.7806208939370456,18.43825,no
-9.210340371976182,37,-1.7897614665653818,154.2983,no
-9.210340371976182,37,NA,NA,no
2.70805020110221,37,-1.6044503709230613,0.6034129,no
1.791759469228055,39,NA,NA,yes
3.7376696182833684,39,-1.584745299843729,31.23898,yes
-9.210340371976182,39,-3.7297014486341915,30.03462,yes
-9.210340371976182,39,NA,NA,yes
-9.210340371976182,39,-9.210340371976182,0.4161144,yes
-9.210340371976182,41,NA,NA,yes
-9.210340371976182,41,-0.2783920255446883,104.9396,yes
-9.210340371976182,41,-3.079113882493042,NA,yes
-9.210340371976182,41,NA,NA,yes
-9.210340371976182,41,NA,NA,yes
1.791759469228055,45,NA,NA,NA
3.7612001156935624,45,-2.9374633654300153,22.34809,NA
-9.210340371976182,45,-4.605170185988091,55.93584,NA
-9.210340371976182,45,NA,NA,NA
2.70805020110221,45,-9.210340371976182,43.84765,NA
2.0794415416798357,46,NA,NA,yes
-9.210340371976182,46,-9.210340371976182,0.2170404,yes
-9.210340371976182,46,-2.864704011147587,3.987193,yes
2.70805020110221,46,NA,NA,yes
2.772588722239781,46,-1.3664917338237108,20.93859,yes
2.5649493574615367,48,NA,NA,no
3.6888794541139363,48,-0.5293290953305504,12.52797,no
-9.210340371976182,48,NA,NA,no
-9.210340371976182,48,NA,NA,no
3.332204510175204,48,0.9122827104766164,32.93919,no
NA,60,NA,NA,NA
1.6094379124341003,60,-1.579879110192556,NA,NA
NA,60,NA,NA,NA
-9.210340371976182,61,NA,NA,yes
-9.210340371976182,61,-9.210340371976182,11.00891,yes
2.772588722239781,61,-9.210340371976182,4.16623,yes
2.8903717578961645,61,NA,NA,yes
-9.210340371976182,61,-9.210340371976182,7.270423,yes
2.3978952727983707,64,NA,NA,yes
-9.210340371976182,64,-1.2837377727947985,16.04005,yes
-9.210340371976182,66,NA,NA,yes
1.9459101490553132,66,-2.4651040224918206,22.35222,yes
-9.210340371976182,66,-4.8283137373023015,6.584725,yes
3.4011973816621555,66,NA,NA,yes
-9.210340371976182,66,-9.210340371976182,36.98704,yes
-9.210340371976182,68,NA,NA,yes
-9.210340371976182,68,-9.210340371976182,56.41625,yes
3.091042453358316,68,-4.710530701645918,8.001613,yes
-9.210340371976182,68,NA,NA,yes
-9.210340371976182,68,-0.6520052372287701,4.601896,yes
1.791759469228055,71,NA,NA,yes
-9.210340371976182,71,-4.8283137373023015,96.94829,yes
4.700480365792417,71,-2.645075401940822,15.59467,yes
2.302585092994046,71,NA,NA,yes
-9.210340371976182,71,-4.422848629194137,9.256554,yes
-9.210340371976182,76,NA,NA,yes
-9.210340371976182,76,-2.8134107167600364,9.843281,yes
-9.210340371976182,79,NA,NA,yes
-9.210340371976182,79,-3.611918412977808,91.52641,yes
-9.210340371976182,79,-9.210340371976182,12.83631,yes
2.70805020110221,79,NA,NA,yes
-9.210340371976182,79,-9.210340371976182,8.470454,yes
-9.210340371976182,84,NA,NA,yes
-9.210340371976182,84,-9.210340371976182,33.49609,yes
-9.210340371976182,84,-9.210340371976182,100.1274,yes
2.833213344056216,84,NA,NA,yes
-9.210340371976182,84,-1.995100393246085,113.262,yes
1.9459101490553132,95,NA,NA,yes
2.1972245773362196,95,-1.3205066205818874,40.1745,yes
3.912023005428146,95,NA,NA,yes
-9.210340371976182,102,NA,NA,no
-9.210340371976182,102,-1.4146938356415886,37.35466,no
3.1780538303479458,102,-3.0576076772720784,54.49624,no
-9.210340371976182,102,NA,NA,no
2.8903717578961645,102,-3.270169119255751,25.12322,no
-9.210340371976182,104,NA,NA,yes
-9.210340371976182,104,-9.210340371976182,3.84073,yes
3.367295829986474,104,-9.210340371976182,8.498746,yes
-9.210340371976182,104,NA,NA,yes
-9.210340371976182,108,NA,NA,yes
-9.210340371976182,108,-9.210340371976182,10.28281,yes
3.4965075614664802,108,-3.4112477175156566,21.69288,yes
2.9444389791664403,108,NA,NA,yes
4.07753744390572,108,-9.210340371976182,58.5775,yes
-9.210340371976182,111,NA,NA,yes
-9.210340371976182,111,-0.8416471888783893,68.55585,yes
-9.210340371976182,111,-1.1841701770297564,59.62667,yes
4.442651256490317,111,NA,NA,yes
3.9889840465642745,111,NA,NA,yes
1.791759469228055,112,NA,NA,no
-9.210340371976182,112,-1.2073117055914506,11.97398,no
4.23410650459726,112,-0.9545119446943529,14.61099,no
2.9444389791664403,112,NA,NA,no
2.5649493574615367,116,NA,NA,no
-9.210340371976182,116,-2.396895772465287,0.3791015,no
-9.210340371976182,116,-9.210340371976182,9.290954,no
2.6390573296152584,116,NA,NA,no
1.6094379124341003,116,-3.473768074496991,NA,no
1.6094379124341003,117,NA,NA,yes
1.791759469228055,117,-2.488914671185539,42.74783,yes
2.4849066497880004,117,-2.282782465697866,31.80662,yes
5.170483995038151,117,NA,NA,yes
4.3694478524670215,117,-3.540459448995663,16.64258,yes
-9.210340371976182,118,NA,NA,yes
1.6094379124341003,118,-2.047942874620465,12.3154,yes
-9.210340371976182,118,-3.4112477175156566,0.4627294,yes
3.828641396489095,118,NA,NA,yes
2.9444389791664403,118,-2.617295837833746,12.38453,yes
4.248495242049359,119,NA,NA,yes
-9.210340371976182,119,-4.961845129926823,116.6359,yes
2.995732273553991,119,-9.210340371976182,32.48113,yes
3.1354942159291497,119,NA,NA,yes
3.5553480614894135,119,-9.210340371976182,14.9267,yes
1.791759469228055,120,NA,NA,yes
-9.210340371976182,120,-3.3524072174927233,1.01509,yes
-9.210340371976182,120,0.6270073780554004,64.60323,yes
1.791759469228055,120,NA,NA,yes
3.1354942159291497,120,-2.1715568305876416,50.01824,yes
3.044522437723423,121,NA,NA,no
4.762173934797756,121,-9.210340371976182,13.59039,no
4.61512051684126,121,NA,NA,no
5.0238805208462765,121,NA,NA,no
NA,126,NA,NA,no
NA,126,-0.015113637810048184,17.45384,no
NA,126,-0.34672461308556435,29.42304,no
NA,126,NA,NA,no
NA,128,NA,NA,yes
NA,128,-9.210340371976182,48.1331,yes
1.9459101490553132,128,-2.645075401940822,18.60185,yes
NA,128,NA,NA,yes
3.044522437723423,128,-9.210340371976182,NA,yes
-9.210340371976182,132,NA,NA,yes
-9.210340371976182,132,-2.9374633654300153,18.59951,yes
-9.210340371976182,132,-9.210340371976182,3.369608,yes
2.70805020110221,132,NA,NA,yes
2.70805020110221,132,-3.863232841258714,4.282154,yes
-9.210340371976182,135,NA,NA,NA
-9.210340371976182,135,NA,-1.242514,NA
-9.210340371976182,135,-2.0099154790312257,23.33806,NA
2.3978952727983707,135,NA,NA,NA
-9.210340371976182,135,-0.7507762933965817,20.59322,NA
NA,140,NA,NA,no
3.7376696182833684,140,-0.8867319296326107,83.44293,no
-9.210340371976182,140,-1.8904754421672127,28.07467,no
3.970291913552122,140,NA,NA,no
3.828641396489095,140,-3.4112477175156566,72.54937,no
3.4339872044851463,145,NA,NA,yes
3.1780538303479458,145,NA,5.792668,yes
NA,145,-2.9374633654300153,9.852913,yes
4.1588830833596715,145,NA,NA,yes
3.9512437185814275,145,-9.210340371976182,18.10505,yes
NA,146,NA,NA,NA
-9.210340371976182,146,-9.210340371976182,9.100734,NA
3.4657359027997265,146,-9.210340371976182,9.554126,NA
3.5553480614894135,146,NA,NA,NA
3.6888794541139363,146,-9.210340371976182,6.062649,NA
NA,147,NA,NA,no
NA,147,NA,29.65236,no
NA,147,-1.1301029557594804,1.355304,no
NA,147,NA,NA,no
-9.210340371976182,147,-2.1892564076870427,13.390319999999999,no
-9.210340371976182,157,NA,NA,no
-9.210340371976182,157,NA,76.50408,no
3.58351893845611,157,NA,NA,no
4.007333185232471,157,NA,NA,no
2.0794415416798357,157,NA,NA,no
NA,162,NA,NA,no
NA,162,-1.731605546408308,NA,no
NA,162,-1.2765434971607714,18.04912,no
NA,162,NA,NA,no
1.791759469228055,162,-1.3432348716594436,76.20116,no
3.4965075614664802,163,NA,NA,NA
3.367295829986474,163,-3.2968373663379125,3.999106,NA
2.995732273553991,163,-3.2441936328524905,22.78806,NA
2.995732273553991,163,NA,NA,NA
2.9444389791664403,163,-3.912023005428146,16.19638,NA
-9.210340371976182,165,NA,NA,yes
-9.210340371976182,165,0.11511280710050467,16.48247,yes
4.875197323201151,165,-0.34814004148889505,16.33931,yes
4.007333185232471,165,NA,NA,yes
5.176149732573829,165,NA,30.10038,yes
-9.210340371976182,169,NA,NA,yes
-9.210340371976182,169,-0.36528331847533263,27.53931,yes
3.6375861597263857,169,-2.1037342342488805,10.86511,yes
3.7612001156935624,169,NA,NA,yes
4.553876891600541,169,-1.3625778345025745,10.39258,yes
1.6094379124341003,172,NA,NA,no
4.382026634673881,172,-2.375155785828881,33.55267,no
2.302585092994046,172,-3.816712825623821,27.26598,no
2.302585092994046,172,NA,NA,no
1.791759469228055,172,-2.995732273553991,0.1731816,no
4.553876891600541,182,NA,NA,NA
3.258096538021482,182,-9.210340371976182,12.71467,NA
4.290459441148391,182,-3.912023005428146,17.40591,NA
3.828641396489095,182,NA,NA,NA
4.74493212836325,182,-4.422848629194137,8.299887,NA
NA,183,NA,NA,no
4.584967478670572,183,-0.6694306539426292,61.06319,no
3.58351893845611,183,-0.8580218237501793,118.4587,no
3.6635616461296463,183,NA,NA,no
3.6375861597263857,183,-1.3093333199837622,19.98452,no
3.258096538021482,188,NA,NA,no
3.58351893845611,188,0.29341560429954144,12.41631,no
2.833213344056216,188,NA,NA,no
4.1588830833596715,191,NA,NA,yes
4.04305126783455,191,-3.4112477175156566,22.19162,yes
3.6109179126442243,191,-9.210340371976182,4.790477,yes
3.6375861597263857,191,NA,NA,yes
3.784189633918261,191,-4.199705077879927,NA,yes
2.70805020110221,198,NA,NA,no
3.871201010907891,198,-2.0249533563957662,6.115884,no
3.2188758248682006,198,-4.710530701645918,1.176632,no
3.044522437723423,198,NA,NA,no
3.367295829986474,198,-4.074541934925921,2.016733,no
2.9444389791664403,200,NA,NA,no
2.3978952727983707,200,-1.1973282616072674,19.11338,no
3.4011973816621555,200,NA,NA,no
NA,220,NA,NA,NA
3.912023005428146,220,-3.2968373663379125,29.86528,NA
3.8501476017100584,220,-1.2447947988461912,11.73474,NA
3.8066624897703196,220,NA,NA,NA
4.330733340286331,220,-0.8347107448817322,9.686411,NA
4.330733340286331,221,NA,NA,yes
4.5217885770490405,221,-3.3242363405260273,19.20876,yes
4.820281565605037,221,-2.9759296462578115,3.394527,yes
4.143134726391533,221,NA,NA,yes
NA,221,-3.4420193761824103,13.65106,yes
3.1354942159291497,225,NA,NA,yes
3.8918202981106265,225,-3.912023005428146,66.13728,yes
3.332204510175204,225,-3.4420193761824103,47.57486,yes
4.356708826689592,225,NA,NA,yes
4.110873864173311,225,-3.6888794541139363,198.4884,yes
2.6390573296152584,230,NA,NA,yes
-9.210340371976182,230,-2.2537949288246137,11.48555,yes
NA,239,NA,NA,no
NA,239,-1.8578992717326,13.94123,no
NA,239,-2.2537949288246137,7.430101,no
NA,239,NA,NA,no
NA,239,-1.0966142860054366,5.021668,no
3.1354942159291497,241,NA,NA,no
2.5649493574615367,241,-9.210340371976182,21.70728,no
2.6390573296152584,241,-3.3524072174927233,NA,no
2.5649493574615367,241,NA,NA,no
2.995732273553991,241,-3.816712825623821,20.38798,no
3.1354942159291497,242,NA,NA,yes
3.091042453358316,242,-3.506557897319982,0.6211284,yes
2.9444389791664403,242,-9.210340371976182,463.898,yes
3.4011973816621555,242,NA,NA,yes
2.6390573296152584,242,-9.210340371976182,11.09946,yes
3.044522437723423,247,NA,NA,no
2.995732273553991,247,-9.210340371976182,12.77612,no
NA,247,-2.864704011147587,NA,no
2.302585092994046,247,NA,NA,no
3.258096538021482,247,-2.8824035882469876,8.578317,no
2.0794415416798357,249,NA,NA,no
2.1972245773362196,249,-9.210340371976182,6.09389,no
2.8903717578961645,249,-4.074541934925921,14.24902,no
2.833213344056216,249,NA,NA,no
3.4011973816621555,249,-9.210340371976182,1.628369,no
-9.210340371976182,263,NA,NA,no
2.3978952727983707,263,-3.270169119255751,49.50193,no
-9.210340371976182,263,-2.430418464503931,69.46242,no
2.1972245773362196,263,NA,NA,no
2.6390573296152584,263,NA,NA,no
2.70805020110221,265,NA,NA,no
2.0794415416798357,265,-9.210340371976182,6.148901,no
2.302585092994046,265,-3.7722610630529876,1.366873,no
1.9459101490553132,265,NA,NA,no
2.302585092994046,265,-2.9565115604007097,2.61719,no
1.9459101490553132,272,NA,NA,yes
2.3978952727983707,272,-3.4112477175156566,20.62232,yes
2.302585092994046,272,-2.995732273553991,25.28374,yes
2.3978952727983707,272,NA,NA,yes
4.330733340286331,276,NA,NA,yes
4.912654885736052,276,-4.3428059215206005,8.813766,yes
4.59511985013459,276,-9.210340371976182,NA,yes
5.017279836814924,276,NA,NA,yes
4.836281906951478,276,-9.210340371976182,9.19694,yes
4.700480365792417,283,NA,NA,yes
4.672828834461906,283,-2.282782465697866,37.86514,yes
4.394449154672439,283,-1.6928195213731514,57.70751,yes
4.51085950651685,283,NA,NA,yes
4.6443908991413725,283,-2.7333680090865,62.50241,yes
NA,285,NA,NA,yes
1.9459101490553132,285,-1.903808973036678,20.69636,yes
4.430816798843313,285,-3.912023005428146,NA,yes
3.6635616461296463,285,NA,NA,yes
3.1354942159291497,285,-2.4079456086518722,8.155962,yes
NA,286,NA,NA,yes
5.703782474656201,286,-0.5603660693261269,82.59904,yes
5.703782474656201,286,-2.0024805005437076,NA,yes
NA,290,NA,NA,no
2.8903717578961645,290,-3.816712825623821,12.29713,no
NA,290,-4.422848629194137,4.896735,no
